"","HLA_DQB2","P2RX1","AURKA","CCNA1","RTCA","LINC01055","FAM30A","SLC1A5","COL17A1","C3","SERPINB5","NDUFS4","hsa_miR_877_5p","hsa_miR_324_5p","hsa_miR_615_3p","hsa_miR_99a_5p","type"
"TCGA-3C-AAAU-01",330.9999999,27,1498.000002,16.99999999,2517.000004,2.584962501,79.00000001,7808.999984,401,7451.999978,206.0000001,1670.999998,2.15926591,5.06267526,4.073416871,7.031994643,"BRCA"
"TCGA-3C-AALI-01",1137.999999,77.00000001,1786.000001,9.000000001,860.9999999,1.584962501,126,8134.999978,330,14982.00001,29.00000001,1176.000004,1.605746538,4.022198696,3.622760798,7.877873387,"BRCA"
"TCGA-3C-AALJ-01",203,43.00000001,898.0000003,12,1352.999997,1,121,2679.999993,32.99999999,6194.000013,2781.999994,802.9999999,1.517576486,4.186474773,0.990116045,7.58356378,"BRCA"
"TCGA-3C-AALK-01",1559.999998,126,567.0000002,34.99999999,1605.000003,4.169925001,144,6269.00001,4787.00001,29473.00009,528.9999998,1359.999999,0.56,3.51515628,1.611159601,10.02703921,"BRCA"
"TCGA-4H-AAAK-01",668.9999998,147,501,29.00000001,1417.999996,3.321928095,28,5303,2437.999995,18112.99997,346.0000001,1747.000001,0.571879635,3.310048724,2.028866458,10.07327391,"BRCA"
"TCGA-5L-AAT0-01",2573.000003,66.99999999,229.9999999,16,1132.000003,3.906890596,70.00000002,2357.999995,2250.999997,27437.99993,463,1325,0.3486,2.944125356,0.1848,9.357215751,"BRCA"
"TCGA-5T-A9QA-01",81.99999998,1,1698.999999,4,1002,0,1,9290.00001,133,634.0000001,12,1536,0.867925382,5.35326018,3.82788679,6.947033477,"BRCA"
"TCGA-A1-A0SB-01",121,10,259,55,1208.999998,0,1,5703.999995,26792.99995,5854.000019,5833.999998,2111.999997,1.172378932,6.437578372,4.277170248,12.00701056,"BRCA"
"TCGA-A1-A0SD-01",1076.999998,60.99999998,1108.999999,59.00000002,1542.000004,3,29.00000001,5911.999993,11132.00003,28626.99991,1565.999995,2654.000008,1.55966727,4.008541727,2.920962744,10.14327743,"BRCA"
"TCGA-A1-A0SE-01",602,34,1287.000002,42.00000001,1441.999996,3.906890596,36.99999999,6320.000002,8972.000026,17840.99996,1016,2089.000004,0.4583,3.422385469,2.64030657,10.4949675,"BRCA"
"TCGA-A1-A0SF-01",330,64.99999998,584.9999998,31,1061.999999,4.169925001,73.00000002,11606.99997,6200.999997,26599.00009,677.9999999,1596.000003,0.1736,3.568898658,3.784983856,10.96471776,"BRCA"
"TCGA-A1-A0SG-01",942.9999998,83.00000001,631.9999998,95.00000002,1636.000004,2,199,8789,1454.000002,32116.00003,148,1129.999997,0.7608,4.775569661,2.161039711,9.349641895,"BRCA"
"TCGA-A1-A0SH-01",1159,70.99999998,444,29.00000001,1531.999998,3.700439718,11,4310.000008,4846.00001,57335.99996,802.0000003,1519.000002,0.7675,2.564659618,3.6936287,10.78957901,"BRCA"
"TCGA-A1-A0SI-01",569.9999999,107,2183.999993,17.99999999,2503.000005,4.392317423,172,9604.999978,2106.999998,106317.0004,356,2089.000004,1.134289264,2.925903726,1.796879608,10.46527216,"BRCA"
"TCGA-A1-A0SJ-01",109,36.00000001,3128.999996,22,2056.000002,3,72.00000001,20509.99999,5379.999995,32665.00011,1130.999998,2437.999995,1.958072605,4.381093443,0.7836,9.818142167,"BRCA"
"TCGA-A1-A0SK-01",119,10,3869.999994,1938.000003,2249.999998,1.584962501,20,9394.000024,15,1063.000003,730,1172.999997,1.929429035,4.440702485,5.395109125,7.809340696,"BRCA"
"TCGA-A1-A0SM-01",877.0000003,29.99999999,1157.000002,50,2806.999999,1,16,16184.00006,975.0000003,30807.00005,265.0000001,2132.999999,0.6143,4.811169292,2.237552433,8.82088485,"BRCA"
"TCGA-A1-A0SN-01",2483.000003,41.00000001,3726.999988,19,2130.000003,3.700439718,9.000000001,16696.99995,1160.999997,46565.99995,490.9999999,3127.000006,0.3508,3.210837531,1.908004267,8.920933988,"BRCA"
"TCGA-A1-A0SO-01",305.9999999,49.00000001,4575.00001,0,1879.000004,2,21.00000001,20079.00002,178,7218.000007,3355.999996,2291.000002,4.405534259,5.183405258,2.413333006,9.366679532,"BRCA"
"TCGA-A1-A0SP-01",2748.999994,87.00000002,2267.999994,1951.999995,3518.000003,3.169925001,66.99999999,12351.00002,415,12114.99998,7119.00002,1491,3.469439399,4.586903942,3.802768293,9.299403388,"BRCA"
"TCGA-A1-A0SQ-01",666.9999998,26,2077.000002,9.000000001,2307.000002,2.584962501,11,5890.00001,1252.999998,17341.00001,551.9999999,1540.000004,1.134289264,2.961726368,0.6936,7.957315042,"BRCA"
"TCGA-A2-A04N-01",1089,56.99999999,395,36.99999999,1620.000005,3.459431619,49.00000001,7871.999984,1006,39327.9999,421.0000001,2135.999996,1.134289264,1.528521458,2.135138857,9.629858148,"BRCA"
"TCGA-A2-A04P-01",266.0000001,70.00000002,1865.999997,68.00000001,1752.999997,4.754887502,206.0000001,28180.00008,55,19244.99995,179,961.0000002,3.222208418,5.560937028,2.655876697,9.437381261,"BRCA"
"TCGA-A2-A04Q-01",7496.999999,581.9999999,1952.999997,21.00000001,1942.000006,3.459431619,742.0000002,11937.99998,1740.000003,50884.00009,258.0000001,1949.999996,2.886002991,5.844677373,2.886028424,8.859371667,"BRCA"
"TCGA-A2-A04R-01",65.99999998,49.00000001,2441.000008,31.99999999,1052.999999,2,5.000000001,10973,1307.999998,2505.999999,170,2346.000006,1.134289264,3.805916666,0.6239,8.60347733,"BRCA"
"TCGA-A2-A04T-01",2279.000001,50.99999999,3678.999998,152,2294.000003,3.906890596,52.00000002,11230,190,25850.00001,13643,1703,3.001691734,7.132496957,3.151471574,7.775918631,"BRCA"
"TCGA-A2-A04U-01",134,10,1492,9.000000001,2217.999997,1,19,7924,233.0000001,3759.000009,7109.999995,627,2.729311053,4.990256801,3.571315707,8.275959747,"BRCA"
"TCGA-A2-A04V-01",711,47.00000001,913,17.99999999,1919.000006,1,10,6359.999995,45,12740.99998,366,1961.000005,1.739341956,5.06213527,2.739809221,6.010752083,"BRCA"
"TCGA-A2-A04W-01",473.9999999,16,756,31,2996.000003,3.169925001,7,18055.99997,57.99999999,7826.000003,2421.000001,1090.999999,0.862933606,3.950807368,3.670683363,10.43755307,"BRCA"
"TCGA-A2-A04X-01",3410.000001,236.9999999,1938.000003,11,2104.000003,4.321928095,327.0000001,24762.99993,744.9999999,15059.99997,211.0000001,2615.000008,1.134289264,4.565346712,1.9064,6.97798236,"BRCA"
"TCGA-A2-A04Y-01",2080.999995,68.00000001,2169.000004,17.99999999,3131.999991,3.169925001,73.00000002,14160.99999,1758.999996,22253.99999,138,2304.000007,1.666851571,3.856579084,4.713258369,9.257901361,"BRCA"
"TCGA-A2-A0CK-01",1361.000002,50,603.9999999,34,2038,3.906890596,26,6894.000017,2346.999995,25347,198.0000001,2406.000006,0.674233725,3.587859565,1.479079637,10.76609071,"BRCA"
"TCGA-A2-A0CL-01",1834.999996,320,3569.000003,66.99999999,2064.000005,5.754887502,982.9999998,5939.999987,1820.999995,75092.99996,178,1378.999998,0.920427938,4.487102882,2.734273033,9.461024831,"BRCA"
"TCGA-A2-A0CM-01",1164.999997,64,3863.000003,52.99999999,2723.000004,2.807354922,83.99999999,7707.999986,153,26283.99992,3773.000006,993.9999997,1.587742463,5.713741442,2.118669944,8.182407306,"BRCA"
"TCGA-A2-A0CO-01",2361.999993,114,224,40.00000001,919.9999999,2.807354922,335.0000001,8923.999976,8469.999976,74181.9999,669.9999999,1385.999998,0.964640731,2.885244334,2.716488298,10.08326881,"BRCA"
"TCGA-A2-A0CP-01",752.0000002,40.00000001,152,27,929,4,21.00000001,3206.000003,3296.999992,16004.99996,603.9999999,1268.999999,1.065562213,3.762239273,3.018749919,9.785414598,"BRCA"
"TCGA-A2-A0CQ-01",2578.999999,16,752.9999999,16.99999999,1702,0,2.000000001,10954.99999,506,35160.99994,56.99999999,1871.999994,0.8863,5.228245196,2.390233768,7.933789561,"BRCA"
"TCGA-A2-A0CR-01",5806.000005,174,299.0000001,23,1142.000001,4.906890596,823.9999999,11669,3399.999998,79270.00024,402.0000001,2365.999999,0.645783008,2.984590699,2.307804893,10.13866488,"BRCA"
"TCGA-A2-A0CS-01",12021.99996,26,584.9999998,149.0000001,979.9999999,2,3,7785.000004,178,5448.000017,55,1822.999995,1.134289264,3.890256857,3.864137252,9.52357594,"BRCA"
"TCGA-A2-A0CT-01",316,49.00000001,2571.000005,19,1418.999996,0,2.000000001,9149.999993,594.9999998,8103.999998,655.9999999,2135.999996,1.134289264,2.071116707,3.082646867,8.948712153,"BRCA"
"TCGA-A2-A0CU-01",364.0000001,444,1565.999995,6,2655.999995,0,23,8468.999975,190,21175.00001,50.99999999,1670.000002,0.6351,5.634190833,2.707116807,8.869545057,"BRCA"
"TCGA-A2-A0CV-01",1159,57.99999999,407,50,2207.000005,5.129283017,64.99999998,5247.999992,8172.000005,45047.99997,1653.000001,3260.00001,0.2873,3.560319181,2.885588008,10.90962885,"BRCA"
"TCGA-A2-A0CW-01",950.0000001,25,6059.000007,29.00000001,3818.999992,3.459431619,10,15205.00004,581.9999999,7585.999987,42.00000001,3081.000007,1.922141572,4.292730006,3.552975042,9.188194881,"BRCA"
"TCGA-A2-A0CY-01",50,6,860.9999999,29.00000001,1407.000001,1,1,30344.99995,413.9999999,97424.99972,1056.999998,1020,1.761575733,5.259099252,6.311393622,6.345725065,"BRCA"
"TCGA-A2-A0CZ-01",415,159,265.0000001,31,1202.000002,4.247927513,124,7963.000024,6880.000008,50872.99996,648,1573.000005,1.134289264,3.425867019,1.942226225,9.63188538,"BRCA"
"TCGA-A2-A0D0-01",1027.000001,10,7020.999996,144,2077.999996,1,5.000000001,6820.000013,499.9999999,55564.00019,866.9999997,710.0000002,4.191942813,5.63752988,3.190644501,7.695600861,"BRCA"
"TCGA-A2-A0D1-01",129,12,880,6,1605.999996,2,16.99999999,2242.000008,42.00000001,2873.999999,3,1033.999998,2.495758418,5.485167191,4.058419642,8.179228594,"BRCA"
"TCGA-A2-A0D2-01",1666.999996,70.99999998,5307.000017,375.9999999,4320.000013,2,154,24785.00008,1026.000003,26631.00009,1630.000004,1451.000002,1.367427142,5.774008121,2.3075,9.670178533,"BRCA"
"TCGA-A2-A0D3-01",1620.999995,13,368,19,2009.000005,1,52.99999999,3033.999998,602.9999999,29769.99997,133,2138.000004,1.134289264,4.330546446,4.510802637,9.398281938,"BRCA"
"TCGA-A2-A0D4-01",219.9999999,32.99999999,4277.000008,23,3759.000009,1.584962501,2.000000001,22381.99994,779.0000001,2999.999993,154,2543.000008,2.374664075,5.193081699,1.260292749,8.750796644,"BRCA"
"TCGA-A2-A0EM-01",1357.999999,16.99999999,595.9999999,23,1547.000004,2.321928095,2.000000001,11736.99998,4426.000006,20470.00002,649,1927.000005,0.825023081,5.401811175,2.030770353,8.880338225,"BRCA"
"TCGA-A2-A0EN-01",5546.999991,69,551.9999999,91,1466.000004,3.906890596,158,10681.00001,1039.999998,72587.0002,142,2851.000007,1.048440749,3.17177637,1.379811003,9.605350144,"BRCA"
"TCGA-A2-A0EO-01",1257.000003,55.99999999,491.9999999,68.00000001,1300.000003,3.906890596,46.00000001,5829.000008,8717.00001,36005.00012,1258.000002,2370.000004,1.134289264,3.128250438,2.545895874,9.542790797,"BRCA"
"TCGA-A2-A0EP-01",4450.000014,413.0000001,601.0000001,21.00000001,2020.000005,4.087462841,612.9999998,8024.999996,479.0000001,186391.9994,135,1893.000006,0.983930167,4.082146006,3.442992231,10.52604157,"BRCA"
"TCGA-A2-A0EQ-01",139,429.0000001,1707.999998,32.99999999,2160.000005,3,258.0000001,9759.999987,74.99999998,41561.00002,21.00000001,1520.999996,1.692912745,6.30672886,4.835072821,8.433181364,"BRCA"
"TCGA-A2-A0ER-01",173,43.99999999,1545.999998,19,2330.000001,2,22,17966.00003,939.0000003,22731,91.99999999,2751.999991,0.5584,5.242688789,2.906396416,8.928661303,"BRCA"
"TCGA-A2-A0ES-01",639,57.99999999,282,168,1653.999998,1,12,9869.999989,21338.00002,40903.99999,4342.000008,1734.999997,0.4016,4.118615306,3.011139319,11.28324464,"BRCA"
"TCGA-A2-A0ET-01",890.0000003,23,1130.999998,3,1642.000006,2.321928095,14,16173.99998,52.00000002,23038.00003,3,3867.000001,1.134289264,4.215024667,0.8326,6.850645033,"BRCA"
"TCGA-A2-A0EU-01",222,38,1170.999996,41.00000001,2422.999994,0,10,4852.999989,228,6993.99999,1346.000004,2410.999997,1.134289264,3.2380744,0.5813,8.12091816,"BRCA"
"TCGA-A2-A0EV-01",1485.999998,50.99999999,1196.000003,42.00000001,1955.000007,2.807354922,34,7181.999999,699.0000001,48477,146,2487,1.134289264,3.493650787,3.776930497,8.793784403,"BRCA"
"TCGA-A2-A0EW-01",523.0000002,83.99999999,320,43.99999999,1657.999999,2,74.00000003,8816.99999,6705.00001,51041.99986,965.0000001,2385.999998,0.7575,4.692635906,2.154671983,11.14016945,"BRCA"
"TCGA-A2-A0EX-01",333.9999999,34.99999999,320,22,1845.000003,3.459431619,68.00000001,6026.000002,1972.999994,36971.00006,718.9999998,2104.999999,1.134289264,3.253662274,1.943367988,10.26501843,"BRCA"
"TCGA-A2-A0EY-01",2342.999993,43.99999999,1452.999996,7.999999997,1944.999994,3.459431619,77.00000001,7389.000005,234.9999999,37392.99993,5.000000001,877.9999999,1.134289264,5.416098084,4.476257492,8.965082449,"BRCA"
"TCGA-A2-A0ST-01",24310.00004,424,1273.999998,308.9999999,1775.000004,3.700439718,1983.999997,8593.999974,2660.000009,113959.9999,972.9999999,1270.000004,2.062281322,4.326149477,2.770529998,10.74103888,"BRCA"
"TCGA-A2-A0SU-01",828.0000003,21.00000001,548.9999998,31,1339.000004,1.584962501,16,8472.99998,2881,13921,569.9999999,1869.999996,0.911570138,3.336947945,2.510731576,9.949785579,"BRCA"
"TCGA-A2-A0SV-01",181,34.99999999,2723.999991,29.00000001,2637.000001,3,7.999999997,17684.99996,27,18624.00006,7,3559.999999,2.522980468,4.950054576,5.526796515,7.660405299,"BRCA"
"TCGA-A2-A0SW-01",1822.000005,560.0000002,2815.000003,4,2503.000005,3.169925001,805.0000003,10128.99997,34,35089.99998,26,1330.000004,0.5473,3.593690967,5.394412808,7.797311729,"BRCA"
"TCGA-A2-A0SX-01",1931.999997,302.9999999,2285.999999,112,2711.999996,4.169925001,658.9999999,7098.000007,215.9999999,170250.0004,857.0000003,1051.999999,1.358550538,4.549706878,3.640521295,9.807744491,"BRCA"
"TCGA-A2-A0SY-01",533.0000001,106,532.0000001,16.99999999,1846.999998,3.700439718,167,5857.000009,391,60807.00004,242.0000001,2071.999998,0.837308585,2.223840708,1.856955542,9.591346682,"BRCA"
